#abgabe.csv
#Jakob
#Plangger
#12418810
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h1,351,cyc_0070-03.txt,70,244,5000,0,,0
h1,352,cyc_0070-15.txt,70,1062,6100,0,,0
h1,353,cyc_0070-15.txt,70,1062,5800,0,,0
h1,354,cyc_0070-15.txt,70,1062,5200,0,,0
h1,355,cyc_0070-15.txt,70,1062,4900,0,,0
h1,356,cyc_0070-15.txt,70,1062,4800,0,,0
h1,357,cyc_0070-15.txt,70,1062,5100,0,,0
h1,358,cyc_0070-15.txt,70,1062,5300,0,,0
h1,359,cyc_0070-15.txt,70,1062,5100,0,,0
h1,360,cyc_0070-15.txt,70,1062,5200,0,,0
h1,361,cyc_0070-15.txt,70,1062,4700,0,,0
h1,362,cyc_0070-15.txt,70,1062,4900,0,,0
h1,363,cyc_0070-15.txt,70,1062,19500,0,,0
h1,364,cyc_0070-15.txt,70,1062,4800,0,,0
h1,365,cyc_0070-15.txt,70,1062,5100,0,,0
h1,366,cyc_0070-15.txt,70,1062,4800,0,,0
h1,367,cyc_0070-15.txt,70,1062,4900,0,,0
h1,368,cyc_0070-15.txt,70,1062,5300,0,,0
h1,369,cyc_0070-15.txt,70,1062,5300,0,,0
h1,370,cyc_0070-15.txt,70,1062,4600,0,,0
h1,371,cyc_0070-15.txt,70,1062,4700,0,,0
h1,372,cyc_0070-15.txt,70,1062,4800,0,,0
h1,373,cyc_0070-15.txt,70,1062,4900,0,,0
h1,374,cyc_0070-15.txt,70,1062,4900,0,,0
h1,375,cyc_0070-15.txt,70,1062,6600,0,,0
h1,376,cyc_0070-15.txt,70,1062,8500,0,,0
h1,377,cyc_0070-15.txt,70,1062,7000,0,,0
h1,378,cyc_0070-15.txt,70,1062,8200,0,,0
h1,379,cyc_0070-15.txt,70,1062,7700,0,,0
h1,380,cyc_0070-15.txt,70,1062,8500,0,,0
h1,381,cyc_0070-15.txt,70,1062,7500,0,,0
h1,382,cyc_0070-15.txt,70,1062,8800,0,,0
h1,383,cyc_0070-15.txt,70,1062,8400,0,,0
h1,384,cyc_0070-15.txt,70,1062,11300,0,,0
h1,385,cyc_0070-15.txt,70,1062,9800,0,,0
h1,386,cyc_0070-15.txt,70,1062,7200,0,,0
h1,387,cyc_0070-15.txt,70,1062,7100,0,,0
h1,388,cyc_0070-15.txt,70,1062,7500,0,,0
h1,389,cyc_0070-15.txt,70,1062,7300,0,,0
h1,390,cyc_0070-15.txt,70,1062,7400,0,,0
h1,391,cyc_0070-15.txt,70,1062,8400,0,,0
h1,392,cyc_0070-15.txt,70,1062,8000,0,,0
h1,393,cyc_0070-15.txt,70,1062,8600,0,,0
h1,394,cyc_0070-15.txt,70,1062,7700,0,,0
h1,395,cyc_0070-15.txt,70,1062,11100,0,,0
h1,396,cyc_0070-15.txt,70,1062,8900,0,,0
h1,397,cyc_0070-15.txt,70,1062,9300,0,,0
h1,398,cyc_0070-15.txt,70,1062,11600,0,,0
h1,399,cyc_0070-15.txt,70,1062,8100,0,,0
h1,400,cyc_0070-15.txt,70,1062,7100,0,,0
h1,401,cyc_0070-15.txt,70,1062,9000,0,,0
h1,402,cyc_0070-15.txt,70,1062,8100,0,,0
h1,403,cyc_0070-15.txt,70,1062,7500,0,,0
h1,404,cyc_0070-15.txt,70,1062,7600,0,,0
h1,405,cyc_0070-15.txt,70,1062,7700,0,,0
h1,406,cyc_0070-15.txt,70,1062,8400,0,,0
h1,407,cyc_0070-15.txt,70,1062,7700,0,,0
h1,408,cyc_0070-15.txt,70,1062,7300,0,,0
h1,409,cyc_0070-15.txt,70,1062,6400,0,,0
h1,410,cyc_0070-15.txt,70,1062,7400,0,,0
h1,411,cyc_0070-15.txt,70,1062,9700,0,,0
h1,412,cyc_0070-15.txt,70,1062,8100,0,,0
h1,413,cyc_0070-15.txt,70,1062,7100,0,,0
h1,414,cyc_0070-15.txt,70,1062,6900,0,,0
h1,415,cyc_0070-15.txt,70,1062,7300,0,,0
h1,416,cyc_0070-15.txt,70,1062,7600,0,,0
h1,417,cyc_0070-15.txt,70,1062,6700,0,,0
h1,418,cyc_0070-15.txt,70,1062,6700,0,,0
h1,419,cyc_0070-15.txt,70,1062,7900,0,,0
h1,420,cyc_0070-15.txt,70,1062,6700,0,,0
h1,421,cyc_0070-15.txt,70,1062,7200,0,,0
h1,422,cyc_0100-03.txt,100,315,10400,0,,0
h1,423,cyc_0100-03.txt,100,315,7200,0,,0
h1,424,cyc_0100-03.txt,100,315,6800,0,,0
h1,425,cyc_0100-03.txt,100,315,9000,0,,0
h1,426,cyc_0100-03.txt,100,315,5000,0,,0
h1,427,cyc_0100-03.txt,100,315,4900,0,,0
h1,428,cyc_0100-03.txt,100,315,5000,0,,0
h1,429,cyc_0100-03.txt,100,315,6900,0,,0
h1,430,cyc_0100-03.txt,100,315,8200,0,,0
h1,431,cyc_0100-03.txt,100,315,8100,0,,0
h1,432,cyc_0100-03.txt,100,315,6400,0,,0
h1,433,cyc_0100-03.txt,100,315,5100,0,,0
h1,434,cyc_0100-03.txt,100,315,6000,0,,0
h1,435,cyc_0100-03.txt,100,315,5300,0,,0
h1,436,cyc_0100-03.txt,100,315,4700,0,,0
h1,437,cyc_0100-03.txt,100,315,5000,0,,0
h1,438,cyc_0100-03.txt,100,315,4800,0,,0
h1,439,cyc_0100-03.txt,100,315,4500,0,,0
h1,440,cyc_0100-03.txt,100,315,5000,0,,0
h1,441,cyc_0100-03.txt,100,315,4900,0,,0
h1,442,cyc_0100-03.txt,100,315,5200,0,,0
h1,443,cyc_0100-03.txt,100,315,4800,0,,0
h1,444,cyc_0100-03.txt,100,315,5100,0,,0
h1,445,cyc_0100-03.txt,100,315,17400,0,,0
h1,446,cyc_0100-03.txt,100,315,4700,0,,0
h1,447,cyc_0100-03.txt,100,315,4600,0,,0
h1,448,cyc_0100-03.txt,100,315,5800,0,,0
h1,449,cyc_0100-03.txt,100,315,12100,0,,0
h1,450,cyc_0100-03.txt,100,315,6200,0,,0
h1,451,cyc_0100-03.txt,100,315,5100,0,,0
h1,452,cyc_0100-03.txt,100,315,5000,0,,0
h1,453,cyc_0100-03.txt,100,315,55900,0,,0
h1,454,cyc_0100-03.txt,100,315,5100,0,,0
h1,455,cyc_0100-03.txt,100,315,4300,0,,0
h1,456,cyc_0100-03.txt,100,315,7700,0,,0
h1,457,cyc_0100-03.txt,100,315,5400,0,,0
h1,458,cyc_0100-03.txt,100,315,4900,0,,0
h1,459,cyc_0100-03.txt,100,315,4500,0,,0
h1,460,cyc_0100-03.txt,100,315,4700,0,,0
h1,461,cyc_0100-03.txt,100,315,4300,0,,0
h1,462,cyc_0100-03.txt,100,315,4200,0,,0
h1,463,cyc_0100-03.txt,100,315,4400,0,,0
